episode,algorithm,mode,total_reward,steps,is_best,best_reward_so_far,best_steps_so_far
184,q_learning,train,5.800000000000015,86,0,118.49999999999997,300
185,q_learning,train,-12.599999999999994,63,0,118.49999999999997,300
186,q_learning,train,0.9000000000000004,56,0,118.49999999999997,300
187,q_learning,train,-9.500000000000004,59,0,118.49999999999997,300
188,q_learning,train,-10.100000000000005,62,0,118.49999999999997,300
189,q_learning,train,55.09999999999997,263,0,118.49999999999997,300
190,q_learning,train,-10.600000000000005,60,0,118.49999999999997,300
191,q_learning,train,3.9000000000000234,84,0,118.49999999999997,300
192,q_learning,train,135.5,300,1,135.5,300
193,q_learning,train,64.0,158,0,135.5,300
194,q_learning,train,-8.79999999999999,138,0,135.5,300
195,q_learning,train,69.09999999999991,222,0,135.5,300
196,q_learning,train,19.500000000000025,134,0,135.5,300
197,q_learning,train,1.0,24,0,135.5,300
198,q_learning,train,-11.300000000000008,128,0,135.5,300
199,q_learning,train,-0.7000000000000002,29,0,135.5,300
200,q_learning,train,-48.30000000000004,212,0,135.5,300
201,q_learning,train,-27.69999999999997,67,0,135.5,300
202,q_learning,train,-3.6000000000000014,48,0,135.5,300
203,q_learning,train,-9.399999999999988,123,0,135.5,300
204,q_learning,train,-18.79999999999997,111,0,135.5,300
205,q_learning,train,7.700000000000035,112,0,135.5,300
206,q_learning,train,-9.0,21,0,135.5,300
207,q_learning,train,-42.59999999999998,215,0,135.5,300
208,q_learning,train,-46.5000000000003,300,0,135.5,300
209,q_learning,train,-15.199999999999985,300,0,135.5,300
210,q_learning,train,-4.5,24,0,135.5,300
211,q_learning,train,44.69999999999994,161,0,135.5,300
212,q_learning,train,-78.49999999999999,155,0,135.5,300
213,q_learning,train,-5.299999999999969,185,0,135.5,300
214,q_learning,train,-7.900000000000002,55,0,135.5,300
215,q_learning,train,-0.4999999999999867,140,0,135.5,300
216,q_learning,train,-17.899999999999988,77,0,135.5,300
217,q_learning,train,6.100000000000019,130,0,135.5,300
218,q_learning,train,-13.900000000000004,57,0,135.5,300
219,q_learning,train,-16.100000000000005,57,0,135.5,300
220,q_learning,train,77.0,300,0,135.5,300
221,q_learning,train,75.0,300,0,135.5,300
222,q_learning,train,-40.9999999999999,300,0,135.5,300
223,q_learning,train,4.900000000000016,82,0,135.5,300
224,q_learning,train,-7.0,20,0,135.5,300
225,q_learning,train,-29.29999999999997,164,0,135.5,300
226,q_learning,train,-6.500000000000003,50,0,135.5,300
227,q_learning,train,63.39999999999999,164,0,135.5,300
